year,planting_date,harvesting_date,state,state_ansi,ag_district,ag_district_code,county,county_ansi,commodity,acres_planted,acres_harvested,yield,soil_water,soil_carbon,soil_density,soil_type,gdd,ehdd,ecdd,average_price,year_open,year_high,year_low,year_close,production,loss_perc,crop_health,land_use,harvesting_long_date,planting_long_date,value,yearly_income
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,COLQUITT,71,WHEAT,3500,1800,41.7,18.0,0.4,1550.0,Sandy loam,2113.9,0.0,24.0,5.8908,5.97,7.39,4.74,5.895,2042832.9600000002,0.49,0.51,1416.43,2014-06-27,2013-10-12,5.9035,12059864.379360002
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,BROOKS,27,WHEAT,5100,3300,46.4,18.0,0.4,1520.0,Sandy loam,3282.5,0.8,19.9,5.8908,5.97,7.39,4.74,5.895,4167313.9200000004,0.35,0.65,2063.94,2014-06-27,2013-10-12,5.9035,24601737.72672
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,MADISON,195,WHEAT,1300,1000,48.0,21.0,0.4,1500.0,Loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,1306368.0,0.23,0.77,526.1,2014-06-27,2013-10-12,5.9035,7712143.488
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,HART,147,WHEAT,1200,900,58.9,22.0,0.4,1520.0,Loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,1442720.1600000001,0.25,0.75,485.63,2014-06-27,2013-10-12,5.9035,8517098.46456
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,FRANKLIN,119,WHEAT,1200,700,47.1,23.0,0.6,1510.0,Loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,897311.52,0.42,0.5800000000000001,485.63,2014-06-27,2013-10-12,5.9035,5297278.55832
2014,12-Oct,27-Jun,GEORGIA,13,NORTH CENTRAL,20,WALTON,297,WHEAT,1500,1350,26.1,20.0,0.6,1530.0,Loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,958955.76,0.1,0.9,607.04,2014-06-27,2013-10-12,5.9035,5661195.32916
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,SCREVEN,251,WHEAT,3600,3500,48.9,14.0,0.4,1570.0,Sandy loam,1995.4,0.0,41.4,5.8908,5.97,7.39,4.74,5.895,4658018.4,0.03,0.97,1456.9,2014-06-27,2013-10-12,5.9035,27498611.624400005
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,JENKINS,165,WHEAT,1700,1550,64.0,16.0,0.4,1560.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,2699827.2,0.09,0.91,687.98,2014-06-27,2013-10-12,5.9035,15938429.875200002
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,JEFFERSON,163,WHEAT,12300,12100,52.1,15.0,0.4,1580.0,Silt loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,17157238.560000002,0.02,0.98,4977.74,2014-06-27,2013-10-12,5.9035,101287757.83896002
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,BURKE,33,WHEAT,6300,6300,56.5,15.0,0.4,1570.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,9687535.200000001,0.0,1.0,2549.58,2014-06-27,2013-10-12,5.9035,57190364.05320001
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,BULLOCH,31,WHEAT,4300,3300,49.4,15.0,0.4,1580.0,Sandy loam,2132.3,0.0,64.4,5.8908,5.97,7.39,4.74,5.895,4436752.32,0.23,0.77,1740.19,2014-06-27,2013-10-12,5.9035,26192367.32112
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,WILKINSON,319,WHEAT,800,800,44.4,21.0,0.4,1520.0,Sandy clay loam,2394.2,0.0,112.8,5.8908,5.97,7.39,4.74,5.895,966712.3200000001,0.0,1.0,323.76,2014-06-27,2013-10-12,5.9035,5706986.181120001
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,WASHINGTON,303,WHEAT,8000,5800,49.1,15.0,0.4,1580.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,7750572.48,0.28,0.72,3237.56,2014-06-27,2013-10-12,5.9035,45755504.635680005
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,PUTNAM,237,WHEAT,1800,1550,48.4,18.0,0.6,1530.0,Sandy clay loam,2062.2,0.0,67.3,5.8908,5.97,7.39,4.74,5.895,2041744.32,0.14,0.86,728.45,2014-06-27,2013-10-12,5.9035,12053437.593120001
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,PULASKI,235,WHEAT,6700,6400,48.4,18.0,0.4,1570.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,8430428.16,0.04,0.96,2711.45,2014-06-27,2013-10-12,5.9035,49769032.642560005
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,NEWTON,217,WHEAT,1200,1000,44.4,18.0,0.4,1530.0,Loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,1208390.4000000001,0.17,0.83,485.63,2014-06-27,2013-10-12,5.9035,7133732.726400001
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,MORGAN,211,WHEAT,2400,2300,63.9,18.0,0.4,1530.0,Loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,3999935.52,0.04,0.96,971.27,2014-06-27,2013-10-12,5.9035,23613619.342320003
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,LAURENS,175,WHEAT,8900,7100,33.4,17.0,0.4,1560.0,Silt loam,2094.3,0.0,68.8,5.8908,5.97,7.39,4.74,5.895,6454002.24,0.2,0.8,3601.78,2014-06-27,2013-10-12,5.9035,38101202.223840006
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,JOHNSON,167,WHEAT,3700,3400,42.9,15.0,0.4,1570.0,Sandy loam,1841.1,0.0,63.2,5.8908,5.97,7.39,4.74,5.895,3969725.7600000002,0.08,0.92,1497.37,2014-06-27,2013-10-12,5.9035,23435276.02416
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,BLECKLEY,23,WHEAT,5600,4600,52.4,18.0,0.4,1580.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,6560144.640000001,0.18,0.8200000000000001,2266.29,2014-06-27,2013-10-12,5.9035,38727813.882240005
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,DOOLY,93,WHEAT,10200,9900,53.7,19.0,0.4,1570.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,14468842.08,0.03,0.97,4127.88,2014-06-27,2013-10-12,5.9035,85416809.21928
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,TURNER,287,WHEAT,2400,1400,47.3,17.0,0.4,1560.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,1802243.52,0.42,0.5800000000000001,971.27,2014-06-27,2013-10-12,5.9035,10639544.62032
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,TAYLOR,269,WHEAT,3100,3000,20.4,16.0,0.4,1570.0,Silt loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,1665619.2,0.03,0.97,1254.55,2014-06-27,2013-10-12,5.9035,9832982.9472
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,WORTH,321,WHEAT,6700,4700,42.3,17.0,0.4,1560.0,Sandy loam,2817.1,0.0,49.3,5.8908,5.97,7.39,4.74,5.895,5410812.96,0.3,0.7,2711.45,2014-06-27,2013-10-12,5.9035,31942734.30936
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,PIKE,231,WHEAT,1100,900,46.7,20.0,0.6,1500.0,Sandy clay loam,1893.4,0.0,85.8,5.8908,5.97,7.39,4.74,5.895,1143888.48,0.18,0.8200000000000001,445.16,2014-06-27,2013-10-12,5.9035,6752945.64168
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,MACON,193,WHEAT,7800,6100,42.6,15.0,0.4,1610.0,Silt loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,7072349.760000001,0.22,0.78,3156.62,2014-06-27,2013-10-12,5.9035,41751616.80816001
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,LAMAR,171,WHEAT,2300,1870,66.8,19.0,0.6,1500.0,Loam,1941.0,0.0,102.6,5.8908,5.97,7.39,4.74,5.895,3399713.856,0.19,0.81,930.8,2014-06-27,2013-10-12,5.9035,20070210.748896003
2014,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,COWETA,77,WHEAT,800,750,53.6,19.0,0.6,1480.0,Sandy clay loam,1783.6,0.0,135.3,5.8908,5.97,7.39,4.74,5.895,1094083.2,0.06,0.94,323.76,2014-06-27,2013-10-12,5.9035,6458920.1712
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,TERRELL,273,WHEAT,8800,5900,58.5,16.0,0.4,1590.0,Silt loam,2817.1,0.0,49.3,5.8908,5.97,7.39,4.74,5.895,9393602.4,0.33,0.6699999999999999,3561.31,2014-06-27,2013-10-12,5.9035,55455131.768400006
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,SEMINOLE,253,WHEAT,4400,4200,43.3,21.0,0.4,1570.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,4949501.76,0.05,0.95,1780.66,2014-06-27,2013-10-12,5.9035,29219383.640159998
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,RANDOLPH,243,WHEAT,8700,7000,64.6,17.0,0.4,1580.0,Silt loam,2539.1,0.0,78.1,5.8908,5.97,7.39,4.74,5.895,12307075.2,0.2,0.8,3520.84,2014-06-27,2013-10-12,5.9035,72654818.44319999
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,WILCOX,315,WHEAT,3100,1700,48.8,16.0,0.4,1570.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,2257839.36,0.45,0.55,1254.55,2014-06-27,2013-10-12,5.9035,13329154.66176
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,MILLER,201,WHEAT,8400,6900,49.4,19.0,0.4,1570.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,9276845.76,0.18,0.8200000000000001,3399.43,2014-06-27,2013-10-12,5.9035,54765858.94416
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,LEE,177,WHEAT,7800,6700,38.8,19.0,0.4,1550.0,Silt loam,2057.2,0.0,67.6,5.8908,5.97,7.39,4.74,5.895,7075071.359999999,0.14,0.86,3156.62,2014-06-27,2013-10-12,5.9035,41767683.77376
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,MITCHELL,205,WHEAT,5300,4200,41.4,18.0,0.4,1580.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,4732318.08,0.21,0.79,2144.88,2014-06-27,2013-10-12,5.9035,27937239.78528
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,DECATUR,87,WHEAT,4800,2200,70.5,17.0,0.4,1540.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,4221201.600000001,0.54,0.45999999999999996,1942.53,2014-06-27,2013-10-12,5.9035,24919863.645600002
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,CLAY,61,WHEAT,3500,2100,57.1,20.0,0.4,1560.0,Sandy loam,2133.0,0.0,62.3,5.8908,5.97,7.39,4.74,5.895,3263470.56,0.4,0.6,1416.43,2014-06-27,2013-10-12,5.9035,19265898.45096
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,CALHOUN,37,WHEAT,6500,6000,60.0,21.0,0.4,1560.0,Silt loam,2133.0,0.0,62.3,5.8908,5.97,7.39,4.74,5.895,9797760.0,0.08,0.92,2630.51,2014-06-27,2013-10-12,5.9035,57841076.160000004
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,WAYNE,305,WHEAT,1500,1500,44.3,17.0,0.4,1590.0,Sandy loam,1772.9,0.0,36.9,5.8908,5.97,7.39,4.74,5.895,1808503.2000000002,0.0,1.0,607.04,2014-06-27,2013-10-12,5.9035,10676498.641200002
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,TOOMBS,279,WHEAT,2200,2150,54.4,16.0,0.4,1580.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,3183183.3600000003,0.02,0.98,890.33,2014-06-27,2013-10-12,5.9035,18791922.965760004
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,TATTNALL,267,WHEAT,900,800,51.9,17.0,0.4,1560.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,1130008.32,0.11,0.89,364.23,2014-06-27,2013-10-12,5.9035,6671004.1171200005
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,PIERCE,229,WHEAT,1900,1850,47.7,17.0,0.4,1550.0,Loamy sand,1362.3,0.5,10.2,5.8908,5.97,7.39,4.74,5.895,2401675.92,0.03,0.97,768.92,2014-06-27,2013-10-12,5.9035,14178293.79372
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,APPLING,1,WHEAT,5400,4200,59.8,16.0,0.4,1580.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,6835570.5600000005,0.22,0.78,2185.35,2014-06-27,2013-10-12,5.9035,40353790.800960004
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,EARLY,99,WHEAT,8300,7200,45.4,20.0,0.4,1560.0,Silt loam,2133.0,0.0,62.3,5.8908,5.97,7.39,4.74,5.895,8896366.08,0.13,0.87,3358.96,2014-06-27,2013-10-12,5.9035,52519697.153280005
2014,25-Sep,01-Jul,SOUTH CAROLINA,45,SOUTHERN,80,HAMPTON,49,WHEAT,2200,2000,54.0,16.0,0.4,1550.0,Sandy loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,2939328.0,0.09,0.91,890.33,2014-07-01,2013-09-25,5.725,16827652.8
2014,25-Sep,01-Jul,SOUTH CAROLINA,45,WEST CENTRAL,40,SALUDA,81,WHEAT,2500,2300,52.6,18.0,0.4,1540.0,Loam,1880.6,0.0,100.6,5.8908,5.97,7.39,4.74,5.895,3292591.68,0.08,0.92,1011.74,2014-07-01,2013-09-25,5.725,18850087.368
2014,25-Sep,01-Jul,SOUTH CAROLINA,45,WEST CENTRAL,40,NEWBERRY,71,WHEAT,5200,3500,47.4,19.0,0.6,1530.0,Loam,1880.6,0.0,100.6,5.8908,5.97,7.39,4.74,5.895,4515134.4,0.33,0.6699999999999999,2104.41,2014-07-01,2013-09-25,5.725,25849144.44
2014,25-Sep,01-Jul,SOUTH CAROLINA,45,WEST CENTRAL,40,EDGEFIELD,37,WHEAT,900,850,40.6,15.0,0.4,1580.0,Sandy loam,1927.4,0.0,90.5,5.8908,5.97,7.39,4.74,5.895,939224.16,0.06,0.94,364.23,2014-07-01,2013-09-25,5.725,5377058.316
2014,25-Sep,01-Jul,SOUTH CAROLINA,45,WEST CENTRAL,40,AIKEN,3,WHEAT,3500,2650,41.1,16.0,0.4,1560.0,Silt loam,2775.1,0.0,104.0,5.8908,5.97,7.39,4.74,5.895,2964230.64,0.24,0.76,1416.43,2014-07-01,2013-09-25,5.725,16970220.414
2014,26-Sep,01-Jul,MISSISSIPPI,28,CENTRAL,50,HOLMES,51,WHEAT,4900,4800,56.3,21.0,0.4,1550.0,Silt loam,2532.0,0.0,230.0,5.8908,5.97,7.39,4.74,5.895,7354851.84,0.02,0.98,1983.0,2014-07-01,2013-09-26,5.725,42106526.783999994
2014,25-Sep,01-Jul,SOUTH CAROLINA,45,SOUTHERN,80,BERKELEY,15,WHEAT,500,400,23.8,18.0,0.6,1460.0,Sandy loam,1388.7,0.0,30.2,5.8908,5.97,7.39,4.74,5.895,259096.32,0.2,0.8,202.35,2014-07-01,2013-09-25,5.725,1483326.432
2014,25-Sep,01-Jul,SOUTH CAROLINA,45,SOUTHERN,80,BAMBERG,9,WHEAT,1900,1850,48.1,14.0,0.4,1560.0,Sandy loam,1860.3,0.0,54.0,5.8908,5.97,7.39,4.74,5.895,2421815.7600000002,0.03,0.97,768.92,2014-07-01,2013-09-25,5.725,13864895.226
2014,26-Sep,01-Jul,MISSISSIPPI,28,SOUTHWEST,70,WARREN,149,WHEAT,2700,2700,53.0,25.0,0.6,1480.0,Loam,1710.9,0.0,61.5,5.8908,5.97,7.39,4.74,5.895,3894609.6,0.0,1.0,1092.68,2014-07-01,2013-09-26,5.725,22296639.96
2014,26-Sep,01-Jul,MISSISSIPPI,28,SOUTHWEST,70,HINDS,49,WHEAT,2800,2700,51.5,21.0,0.4,1520.0,Silt loam,2209.0,0.0,145.8,5.8908,5.97,7.39,4.74,5.895,3784384.8000000003,0.04,0.96,1133.14,2014-07-01,2013-09-26,5.725,21665602.98
2014,26-Sep,01-Jul,MISSISSIPPI,28,NORTHEAST,30,PRENTISS,117,WHEAT,1700,1700,48.8,21.0,0.4,1510.0,Silt loam,1827.0,0.0,295.7,5.8908,5.97,7.39,4.74,5.895,2257839.36,0.0,1.0,687.98,2014-07-01,2013-09-26,5.725,12926130.336
2014,26-Sep,01-Jul,MISSISSIPPI,28,NORTHEAST,30,LEE,81,WHEAT,4500,4500,52.2,22.0,0.4,1570.0,Silt loam,2323.4,0.0,147.3,5.8908,5.97,7.39,4.74,5.895,6393038.4,0.0,1.0,1821.13,2014-07-01,2013-09-26,5.725,36600144.84
2014,26-Sep,01-Jul,MISSISSIPPI,28,NORTHEAST,30,ITAWAMBA,57,WHEAT,1900,1800,50.6,19.0,0.4,1500.0,Silt loam,2485.1,0.0,274.3,5.8908,5.97,7.39,4.74,5.895,2478833.2800000003,0.05,0.95,768.92,2014-07-01,2013-09-26,5.725,14191320.528
2014,26-Sep,01-Jul,MISSISSIPPI,28,NORTH CENTRAL,20,TATE,137,WHEAT,2600,2500,60.0,23.0,0.4,1550.0,Silt loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,4082400.0,0.04,0.96,1052.21,2014-07-01,2013-09-26,5.725,23371740.0
2014,26-Sep,01-Jul,MISSISSIPPI,28,NORTH CENTRAL,20,PANOLA,107,WHEAT,8600,8200,62.1,21.0,0.4,1510.0,Silt loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,13858931.520000001,0.05,0.95,3480.37,2014-07-01,2013-09-26,5.725,79342382.952
2014,26-Sep,01-Jul,MISSISSIPPI,28,NORTH CENTRAL,20,MARSHALL,93,WHEAT,6000,5800,57.8,21.0,0.4,1510.0,Silt loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,9123891.84,0.03,0.97,2428.17,2014-07-01,2013-09-26,5.725,52234280.783999994
2014,26-Sep,01-Jul,MISSISSIPPI,28,NORTH CENTRAL,20,DE SOTO,33,WHEAT,7700,7100,55.8,21.0,0.4,1560.0,Silt loam,2557.5,0.0,314.7,5.8908,5.97,7.39,4.74,5.895,10782434.88,0.08,0.92,3116.15,2014-07-01,2013-09-26,5.725,61729439.688
2014,26-Sep,01-Jul,MISSISSIPPI,28,NORTH CENTRAL,20,CALHOUN,13,WHEAT,3900,3850,59.7,22.0,0.4,1530.0,Silt loam,1939.3,0.0,312.3,5.8908,5.97,7.39,4.74,5.895,6255461.5200000005,0.01,0.99,1578.31,2014-07-01,2013-09-26,5.725,35812517.202
2014,26-Sep,01-Jul,MISSISSIPPI,28,LOWER DELTA,40,YAZOO,163,WHEAT,15000,14600,69.7,22.0,0.4,1540.0,Silt loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,27695545.92,0.03,0.97,6070.42,2014-07-01,2013-09-26,5.725,158557000.392
2014,26-Sep,01-Jul,MISSISSIPPI,28,LOWER DELTA,40,WASHINGTON,151,WHEAT,12400,11800,61.0,27.0,0.6,1570.0,Sandy clay loam,2609.5,0.0,216.3,5.8908,5.97,7.39,4.74,5.895,19590076.8,0.05,0.95,5018.21,2014-07-01,2013-09-26,5.725,112153189.67999999
2014,26-Sep,01-Jul,MISSISSIPPI,28,LOWER DELTA,40,SUNFLOWER,133,WHEAT,11200,10500,51.0,23.0,0.4,1590.0,Silt loam,2059.6,0.0,232.3,5.8908,5.97,7.39,4.74,5.895,14574168.0,0.06,0.94,4532.58,2014-07-01,2013-09-26,5.725,83437111.8
2014,26-Sep,01-Jul,MISSISSIPPI,28,LOWER DELTA,40,SHARKEY,125,WHEAT,3800,3600,60.8,33.0,0.8,1590.0,Clay loam,2614.8,0.0,153.3,5.8908,5.97,7.39,4.74,5.895,5957038.08,0.05,0.95,1537.84,2014-07-01,2013-09-26,5.725,34104043.008
2014,26-Sep,01-Jul,MISSISSIPPI,28,LOWER DELTA,40,LEFLORE,83,WHEAT,8200,7900,58.1,22.0,0.4,1570.0,Silt loam,2532.0,0.0,230.0,5.8908,5.97,7.39,4.74,5.895,12491871.84,0.04,0.96,3318.49,2014-07-01,2013-09-26,5.725,71515966.284
2014,26-Sep,01-Jul,MISSISSIPPI,28,LOWER DELTA,40,ISSAQUENA,55,WHEAT,3300,3300,65.8,27.0,0.4,1590.0,Clay loam,2614.8,0.0,153.3,5.8908,5.97,7.39,4.74,5.895,5909682.24,0.0,1.0,1335.49,2014-07-01,2013-09-26,5.725,33832930.824
2014,26-Sep,01-Jul,MISSISSIPPI,28,LOWER DELTA,40,HUMPHREYS,53,WHEAT,5800,5200,57.3,24.0,0.4,1580.0,Silt loam,2532.0,0.0,230.0,5.8908,5.97,7.39,4.74,5.895,8109279.36,0.1,0.9,2347.23,2014-07-01,2013-09-26,5.725,46425624.335999995
2014,26-Sep,01-Jul,MISSISSIPPI,28,EAST CENTRAL,60,NOXUBEE,103,WHEAT,3200,3100,61.3,25.0,0.6,1570.0,Silty clay loam,43.0,0.0,4.6,5.8908,5.97,7.39,4.74,5.895,5171856.48,0.03,0.97,1295.02,2014-07-01,2013-09-26,5.725,29608878.348
2014,26-Sep,01-Jul,MISSISSIPPI,28,EAST CENTRAL,60,MONROE,95,WHEAT,6900,6850,61.3,23.0,0.4,1570.0,Loam,2323.4,0.0,147.3,5.8908,5.97,7.39,4.74,5.895,11428134.48,0.01,0.99,2792.39,2014-07-01,2013-09-26,5.725,65426069.898
2014,26-Sep,01-Jul,MISSISSIPPI,28,EAST CENTRAL,60,LOWNDES,87,WHEAT,2200,1700,55.9,23.0,0.4,1530.0,Loam,43.0,0.0,4.6,5.8908,5.97,7.39,4.74,5.895,2586336.48,0.23,0.77,890.33,2014-07-01,2013-09-26,5.725,14806776.348
2014,26-Sep,01-Jul,MISSISSIPPI,28,CENTRAL,50,WEBSTER,155,WHEAT,1100,1000,56.0,21.0,0.4,1490.0,Silt loam,0.0,0.0,0.0,5.8908,5.97,7.39,4.74,5.895,1524096.0,0.09,0.91,445.16,2014-07-01,2013-09-26,5.725,8725449.6
2014,26-Sep,01-Jul,MISSISSIPPI,28,UPPER DELTA,10,BOLIVAR,11,WHEAT,20900,20000,60.8,25.0,0.4,1580.0,Clay loam,2059.6,0.0,232.3,5.8908,5.97,7.39,4.74,5.895,33094656.0,0.04,0.96,8458.11,2014-07-01,2013-09-26,5.725,189466905.6
2014,25-Sep,01-Jul,SOUTH CAROLINA,45,SOUTHERN,80,BARNWELL,11,WHEAT,1600,1500,60.4,14.0,0.4,1580.0,Sandy loam,2424.4,0.0,62.5,5.8908,5.97,7.39,4.74,5.895,2465769.6,0.06,0.94,647.51,2014-07-01,2013-09-25,5.725,14116530.959999999
2014,26-Sep,01-Jul,MISSISSIPPI,28,UPPER DELTA,10,COAHOMA,27,WHEAT,22600,21800,60.9,24.0,0.4,1580.0,Clay loam,1978.7,0.0,255.9,5.8908,5.97,7.39,4.74,5.895,36132505.92,0.04,0.96,9146.09,2014-07-01,2013-09-26,5.725,206858596.392
