Year,Planting_Dates,Harvesting_Dates,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Commodity,ACRES_PLANTED,ACRES_HARVESTED
2015,03-Oct,02-Jul,ARKANSAS,5,CENTRAL,50,CONWAY,29,WHEAT,"6,300","2,500"
2015,03-Oct,02-Jul,ARKANSAS,5,CENTRAL,50,PULASKI,119,WHEAT,"2,900","1,300"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,WHEAT,"11,600","10,000"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,WHEAT,"28,400","24,000"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,WHEAT,"11,900","9,900"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,LEE,77,WHEAT,"16,400","13,200"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,WHEAT,"6,800","5,200"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,WHEAT,"16,000","13,600"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,WHEAT,"26,800","20,000"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,WHEAT,"3,300","2,600"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,WHEAT,"10,500","8,400"
2015,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,WHEAT,"8,800","7,600"
2015,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,CLAY,21,WHEAT,"5,200","4,500"
2015,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,WHEAT,"5,700","2,600"
2015,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,GREENE,55,WHEAT,"4,600","3,700"
2015,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,JACKSON,67,WHEAT,"11,000","9,400"
2015,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,POINSETT,111,WHEAT,"14,800","12,500"
2015,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,ASHLEY,3,WHEAT,"4,000","3,400"
2015,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,DESHA,41,WHEAT,"3,800","3,200"
2015,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,LINCOLN,79,WHEAT,"5,500","4,200"
2015,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,WHEAT,"10,000","8,000"
2015,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,WHEAT,"9,000","5,000"
2015,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,WHEAT,"12,500","9,500"
2015,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,WHEAT,"6,900","6,000"
2015,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,WHEAT,"21,500","19,000"
2015,25-Sep,15-Jul,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,WHEAT,"20,000","3,000"
2015,25-Sep,15-Jul,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,WHEAT,"46,000","8,000"
2015,25-Sep,15-Jul,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,WHEAT,"22,000","8,500"
2015,25-Sep,15-Jul,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,WHEAT,"108,000","30,500"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,ADAMS,1,WHEAT,"167,000","162,000"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,ARAPAHOE,5,WHEAT,"62,300","55,000"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,CHEYENNE,17,WHEAT,"178,000","157,500"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,ELBERT,39,WHEAT,"41,000","39,400"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,KIOWA,61,WHEAT,"205,000","171,000"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,KIT CARSON,63,WHEAT,"298,000","288,000"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,LINCOLN,73,WHEAT,"137,000","121,500"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,WASHINGTON,121,WHEAT,"308,000","294,500"
2015,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,YUMA,125,WHEAT,"139,000","135,000"
2015,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,LARIMER,69,WHEAT,"9,000","8,500"
2015,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,LOGAN,75,WHEAT,"125,000","116,900"
2015,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,MORGAN,87,WHEAT,"61,000","60,400"
2015,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,SEDGWICK,115,WHEAT,"73,900","68,900"
2015,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,WELD,123,WHEAT,"137,000","126,000"
2015,01-Sep,29-Jul,COLORADO,8,SOUTHEAST,90,BACA,9,WHEAT,"193,000","103,200"
2015,01-Sep,29-Jul,COLORADO,8,SOUTHEAST,90,PROWERS,99,WHEAT,"132,500","111,500"
2015,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,DOLORES,33,WHEAT,"14,000","13,700"
2015,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,LA PLATA,67,WHEAT,"2,000","2,000"
2015,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,MESA,77,WHEAT,"2,300","2,200"
2015,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,MONTEZUMA,83,WHEAT,"9,200","7,200"
2015,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,LAURENS,175,WHEAT,"6,100","5,200"
2015,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,MORGAN,211,WHEAT,"2,200","2,000"
2015,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,PEACH,225,WHEAT,"3,900","3,100"
2015,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,WILKINSON,319,WHEAT,600,600
2015,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,BULLOCH,31,WHEAT,"2,600","1,800"
2015,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,EMANUEL,107,WHEAT,"2,400","1,200"
2015,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,JEFFERSON,163,WHEAT,"8,900","8,800"
2015,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,JENKINS,165,WHEAT,"2,100","1,900"
2015,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,SCREVEN,251,WHEAT,"2,700","2,100"
2015,12-Oct,27-Jun,GEORGIA,13,NORTH CENTRAL,20,WALTON,297,WHEAT,900,400
2015,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,HART,147,WHEAT,"2,300","1,750"
2015,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,MADISON,195,WHEAT,700,370
2015,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,OGLETHORPE,221,WHEAT,"2,300","1,950"
2015,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,WILKES,317,WHEAT,800,200
2015,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,DOOLY,93,WHEAT,"8,900","4,100"
2015,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,TIFT,277,WHEAT,700,500
2015,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,WILCOX,315,WHEAT,"2,500",800
2015,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,TATTNALL,267,WHEAT,"1,300",800
2015,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,EARLY,99,WHEAT,"6,700","4,700"
2015,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,LEE,177,WHEAT,"3,600","3,100"
2015,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,MILLER,201,WHEAT,"7,300","5,000"
2015,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,RANDOLPH,243,WHEAT,"6,900","6,200"
2015,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,SEMINOLE,253,WHEAT,"2,100","1,800"
2015,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,SUMTER,261,WHEAT,"7,300","6,400"
2015,12-Oct,27-Jun,GEORGIA,13,SOUTHWEST,70,TERRELL,273,WHEAT,"6,400","3,900"
2015,12-Oct,27-Jun,GEORGIA,13,WEST CENTRAL,40,MACON,193,WHEAT,"6,300","1,750"
2015,08-Sep,14-Sep,IDAHO,16,EAST,90,BANNOCK,5,WHEAT,"18,500","17,500"
2015,08-Sep,14-Sep,IDAHO,16,EAST,90,BINGHAM,11,WHEAT,"82,300","78,300"
2015,08-Sep,14-Sep,IDAHO,16,EAST,90,BONNEVILLE,19,WHEAT,"19,500","18,400"
2015,08-Sep,14-Sep,IDAHO,16,EAST,90,CARIBOU,29,WHEAT,"22,500","21,000"
2015,08-Sep,14-Sep,IDAHO,16,EAST,90,POWER,77,WHEAT,"65,700","61,400"
2015,08-Sep,14-Sep,IDAHO,16,EAST,90,TETON,81,WHEAT,"1,600","1,500"
2015,08-Sep,14-Sep,IDAHO,16,NORTH,10,BENEWAH,9,WHEAT,"25,300","24,300"
2015,08-Sep,14-Sep,IDAHO,16,NORTH,10,BOUNDARY,21,WHEAT,"12,600","12,100"
2015,08-Sep,14-Sep,IDAHO,16,NORTH,10,IDAHO,49,WHEAT,"61,200","57,200"
2015,08-Sep,14-Sep,IDAHO,16,NORTH,10,LATAH,57,WHEAT,"70,200","64,200"
2015,08-Sep,14-Sep,IDAHO,16,NORTH,10,LEWIS,61,WHEAT,"72,000","67,000"
2015,08-Sep,14-Sep,IDAHO,16,NORTH,10,NEZ PERCE,69,WHEAT,"78,100","71,700"
2015,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,CASSIA,31,WHEAT,"44,400","43,800"
2015,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,JEROME,53,WHEAT,"8,100","7,800"
2015,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,MINIDOKA,67,WHEAT,"13,400","13,200"
2015,08-Sep,14-Sep,IDAHO,16,SOUTH CENTRAL,80,TWIN FALLS,83,WHEAT,"20,900","20,600"
2015,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,ADA,1,WHEAT,"4,100","3,800"
2015,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,CANYON,27,WHEAT,"21,300","21,100"
2015,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,ELMORE,39,WHEAT,"11,300","8,600"
2015,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,OWYHEE,73,WHEAT,"5,900","5,500"
2015,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,PAYETTE,75,WHEAT,"2,900","2,800"
2015,08-Sep,14-Sep,IDAHO,16,SOUTHWEST,70,WASHINGTON,87,WHEAT,"5,300","4,800"
2015,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,MACON,115,WHEAT,800,750
2015,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,MARSHALL,123,WHEAT,800,750
2015,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,MASON,125,WHEAT,"3,100","3,000"
2015,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,MENARD,129,WHEAT,700,700
2015,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,PEORIA,143,WHEAT,"1,400","1,350"
2015,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,TAZEWELL,179,WHEAT,"2,200","2,100"
2015,28-Sep,19-Jul,ILLINOIS,17,CENTRAL,40,WOODFORD,203,WHEAT,"2,200","2,100"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST,50,CHAMPAIGN,19,WHEAT,"2,700","2,600"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST,50,IROQUOIS,75,WHEAT,"4,600","4,150"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST,50,LIVINGSTON,105,WHEAT,"6,000","5,300"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST,50,VERMILION,183,WHEAT,"2,800","2,750"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,CLARK,23,WHEAT,"4,400","4,200"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,CLAY,25,WHEAT,"10,900","10,500"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,CRAWFORD,33,WHEAT,"2,900","2,800"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,CUMBERLAND,35,WHEAT,"1,100","1,000"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,EFFINGHAM,49,WHEAT,"5,500","5,100"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,JASPER,79,WHEAT,"2,500","2,350"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,LAWRENCE,101,WHEAT,"7,200","7,050"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,MARION,121,WHEAT,"8,700","8,150"
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,MOULTRIE,139,WHEAT,500,450
2015,28-Sep,19-Jul,ILLINOIS,17,EAST SOUTHEAST,70,RICHLAND,159,WHEAT,"4,800","4,500"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,BOONE,7,WHEAT,"1,700","1,450"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,DE KALB,37,WHEAT,"5,500","5,200"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,GRUNDY,63,WHEAT,600,550
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,KANE,89,WHEAT,"3,000","2,900"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,LAKE,97,WHEAT,900,850
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHEAST,20,MCHENRY,111,WHEAT,"4,000","3,850"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,CARROLL,15,WHEAT,"1,700","1,500"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,LEE,103,WHEAT,"1,400","1,300"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,OGLE,141,WHEAT,"3,600","3,400"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,ROCK ISLAND,161,WHEAT,500,450
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,STEPHENSON,177,WHEAT,"4,200","3,950"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,WHITESIDE,195,WHEAT,"3,200","3,050"
2015,28-Sep,19-Jul,ILLINOIS,17,NORTHWEST,10,WINNEBAGO,201,WHEAT,"3,300","3,200"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,EDWARDS,47,WHEAT,"4,500","4,450"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,FRANKLIN,55,WHEAT,"16,100","16,000"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,GALLATIN,59,WHEAT,"6,400","6,000"
2015,28-Sep,19-Jul,ILLINOIS,17,SOUTHEAST,90,HAMILTON,65,WHEAT,"8,900","8,800"
