Year,Planting_Dates,Harvesting_Dates,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Commodity,ACRES_PLANTED,ACRES_HARVESTED,YIELD_(BU/ACRE)
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,WHEAT,"16,300","15,300",73.2
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,WHEAT,"40,800","37,000",65.7
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,WHEAT,"16,600","15,400",64.8
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,LEE,77,WHEAT,"29,500","28,400",67.7
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,WHEAT,"12,100","11,000",55
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,WHEAT,"20,700","19,800",69.4
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,WHEAT,"36,100","33,000",74.5
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,WHEAT,"6,700","6,100",59.5
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,WHEAT,"13,600","12,200",58
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,WHEAT,"14,600","12,700",64
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,WHEAT,"8,300","5,900",65.3
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,GREENE,55,WHEAT,"9,500","8,700",55.3
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,INDEPENDENCE,63,WHEAT,"6,800","6,000",56.7
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,JACKSON,67,WHEAT,"17,100","16,000",54.7
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,LAWRENCE,75,WHEAT,"6,200","5,700",48.6
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,MISSISSIPPI,93,WHEAT,"56,100","52,000",65.4
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,POINSETT,111,WHEAT,"19,400","17,700",52.6
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,RANDOLPH,121,WHEAT,"1,700","1,300",53.8
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,ASHLEY,3,WHEAT,"5,600","5,000",63
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,DESHA,41,WHEAT,"7,800","7,000",61.4
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,JEFFERSON,69,WHEAT,"17,000","16,200",70.1
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,LINCOLN,79,WHEAT,"6,800","5,800",52.9
2014,03-Oct,02-Jul,ARKANSAS,5,WEST CENTRAL,40,CRAWFORD,33,WHEAT,"2,900","1,000",72
2014,03-Oct,02-Jul,ARKANSAS,5,WEST CENTRAL,40,YELL,149,WHEAT,"2,100","1,700",53.2
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,WHEAT,"3,500",800,62.5
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,WHEAT,"9,800","6,000",63.3
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,WHEAT,"9,400","3,000",53.3
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,WHEAT,"5,700","3,000",50
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,WHEAT,"14,000","13,000",60
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,WHEAT,"8,000","4,000",80
2014,25-Sep,15-Jul,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,WHEAT,"25,800","22,000",70.5
2014,25-Sep,15-Jul,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,WHEAT,"34,000","10,700",102.8
2014,25-Sep,15-Jul,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,WHEAT,"21,000","10,000",105
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,ADAMS,1,WHEAT,"153,000","140,000",47.9
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,ARAPAHOE,5,WHEAT,"83,000","75,800",27.3
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,CHEYENNE,17,WHEAT,"245,000","197,000",24
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,DOUGLAS,35,WHEAT,"1,600","1,400",42.9
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,KIOWA,61,WHEAT,"300,500","211,500",17.3
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,KIT CARSON,63,WHEAT,"328,000","295,000",40.9
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,LINCOLN,73,WHEAT,"163,000","130,600",35.3
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,PHILLIPS,95,WHEAT,"109,000","107,200",49
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,WASHINGTON,121,WHEAT,"290,000","276,000",47.1
2014,01-Sep,29-Jul,COLORADO,8,EAST CENTRAL,60,YUMA,125,WHEAT,"143,000","137,500",60.6
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,LARIMER,69,WHEAT,"6,100","5,500",49.6
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,LOGAN,75,WHEAT,"111,000","104,800",47.1
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,MORGAN,87,WHEAT,"66,600","64,100",58.2
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,SEDGWICK,115,WHEAT,"84,500","75,700",51.6
2014,01-Sep,29-Jul,COLORADO,8,NORTHEAST,20,WELD,123,WHEAT,"130,000","123,400",51.7
2014,01-Sep,29-Jul,COLORADO,8,SOUTHEAST,90,LAS ANIMAS,71,WHEAT,"3,900","3,400",6.2
2014,01-Sep,29-Jul,COLORADO,8,SOUTHEAST,90,OTERO,89,WHEAT,"5,900","5,300",48.7
2014,01-Sep,29-Jul,COLORADO,8,SOUTHEAST,90,PUEBLO,101,WHEAT,"2,400",900,22.2
2014,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,DOLORES,33,WHEAT,"16,600","16,200",19.7
2014,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,LA PLATA,67,WHEAT,"1,700","1,300",11.2
2014,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,MESA,77,WHEAT,"2,100","2,100",131
2014,01-Sep,29-Jul,COLORADO,8,SOUTHWEST,70,MONTEZUMA,83,WHEAT,"7,300","7,100",32.4
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,BLECKLEY,23,WHEAT,"5,600","4,600",52.4
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,JOHNSON,167,WHEAT,"3,700","3,400",42.9
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,LAURENS,175,WHEAT,"8,900","7,100",33.4
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,MORGAN,211,WHEAT,"2,400","2,300",63.9
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,NEWTON,217,WHEAT,"1,200","1,000",44.4
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,PULASKI,235,WHEAT,"6,700","6,400",48.4
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,PUTNAM,237,WHEAT,"1,800","1,550",48.4
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,WASHINGTON,303,WHEAT,"8,000","5,800",49.1
2014,12-Oct,27-Jun,GEORGIA,13,CENTRAL,50,WILKINSON,319,WHEAT,800,800,44.4
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,BULLOCH,31,WHEAT,"4,300","3,300",49.4
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,BURKE,33,WHEAT,"6,300","6,300",56.5
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,JEFFERSON,163,WHEAT,"12,300","12,100",52.1
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,JENKINS,165,WHEAT,"1,700","1,550",64
2014,12-Oct,27-Jun,GEORGIA,13,EAST CENTRAL,60,SCREVEN,251,WHEAT,"3,600","3,500",48.9
2014,12-Oct,27-Jun,GEORGIA,13,NORTH CENTRAL,20,WALTON,297,WHEAT,"1,500","1,350",26.1
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,FRANKLIN,119,WHEAT,"1,200",700,47.1
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,HART,147,WHEAT,"1,200",900,58.9
2014,12-Oct,27-Jun,GEORGIA,13,NORTHEAST,30,MADISON,195,WHEAT,"1,300","1,000",48
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,BROOKS,27,WHEAT,"5,100","3,300",46.4
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,COLQUITT,71,WHEAT,"3,500","1,800",41.7
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,DOOLY,93,WHEAT,"10,200","9,900",53.7
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,TURNER,287,WHEAT,"2,400","1,400",47.3
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,WILCOX,315,WHEAT,"3,100","1,700",48.8
2014,12-Oct,27-Jun,GEORGIA,13,SOUTH CENTRAL,80,WORTH,321,WHEAT,"6,700","4,700",42.3
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,APPLING,1,WHEAT,"5,400","4,200",59.8
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,PIERCE,229,WHEAT,"1,900","1,850",47.7
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,TATTNALL,267,WHEAT,900,800,51.9
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,TOOMBS,279,WHEAT,"2,200","2,150",54.4
2014,12-Oct,27-Jun,GEORGIA,13,SOUTHEAST,90,WAYNE,305,WHEAT,"1,500","1,500",44.3
