Year,Planting_Dates,Harvesting_Dates,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Commodity,ACRES_PLANTED,ACRES_HARVESTED,YIELD_(BU/ACRE),soil_water,soil_carbon,soil_density,soil_type,gdd,ehdd,ecdd
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,WHEAT,"16,300","15,300",73.2,22,0.4,1530,Silt loam,1746.3,0,286.2
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,WHEAT,"40,800","37,000",65.7,28,0.4,1590,Clay loam,2163.6,0,368.9
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,WHEAT,"16,600","15,400",64.8,24,0.4,1570,Silt loam,2163.6,0,368.9
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,LEE,77,WHEAT,"29,500","28,400",67.7,24,0.4,1560,Silt loam,2037,0,274.9
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,WHEAT,"12,100","11,000",55,22,0.4,1550,Silt loam,2088.2,0,306.6
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,WHEAT,"20,700","19,800",69.4,22,0.4,1540,Silt loam,1746.3,0,286.2
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,WHEAT,"36,100","33,000",74.5,22,0.4,1560,Silt loam,1893,0,255.9
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,WHEAT,"6,700","6,100",59.5,22,0.4,1530,Silt loam,1971.8,0,471.1
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,WHEAT,"13,600","12,200",58,26,0.4,1560,Silt loam,2163.6,0,368.9
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,WHEAT,"14,600","12,700",64,21,0.4,1550,Silt loam,1971.8,0,471.1
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,CRAIGHEAD,31,WHEAT,"8,300","5,900",65.3,22,0.4,1550,Silt loam,1906.7,0,458
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,GREENE,55,WHEAT,"9,500","8,700",55.3,21,0.4,1550,Silt loam,1906.7,0,458
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,INDEPENDENCE,63,WHEAT,"6,800","6,000",56.7,20,0.4,1570,Sandy clay loam,2099.2,0,411.9
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,JACKSON,67,WHEAT,"17,100","16,000",54.7,21,0.4,1570,Sandy clay loam,2067.9,0,468.7
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,LAWRENCE,75,WHEAT,"6,200","5,700",48.6,21,0.4,1570,Sandy clay loam,1670.7,0,431.1
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,MISSISSIPPI,93,WHEAT,"56,100","52,000",65.4,29,0.4,1580,Sandy clay loam,2039.2,0,466.8
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,POINSETT,111,WHEAT,"19,400","17,700",52.6,23,0.4,1570,Sandy clay loam,1906.7,0,458
2014,03-Oct,02-Jul,ARKANSAS,5,NORTHEAST,30,RANDOLPH,121,WHEAT,"1,700","1,300",53.8,21,0.4,1550,Silt loam,1670.7,0,431.1
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,ASHLEY,3,WHEAT,"5,600","5,000",63,22,0.4,1540,Silt loam,2192.6,0,121.8
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,DESHA,41,WHEAT,"7,800","7,000",61.4,27,0.6,1570,Sandy clay loam,2499.5,0,216.3
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,JEFFERSON,69,WHEAT,"17,000","16,200",70.1,23,0.4,1560,Silt loam,2193.8,0,274.2
2014,03-Oct,02-Jul,ARKANSAS,5,SOUTHEAST,90,LINCOLN,79,WHEAT,"6,800","5,800",52.9,23,0.4,1560,Silt loam,2193.8,0,274.2
