Year,Planting_Dates,Harvesting_Dates,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Commodity,ACRES_PLANTED,ACRES_HARVESTED,YIELD_(BU/ACRE),soil_water,soil_carbon,soil_density,soil_type,gdd,ehdd,ecdd,average_price,year_open,year_high,year_low,year_close
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,WHEAT,16300,15300,73.2,22,0.4,1530,Silt loam,1746.3,0,286.2,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,WHEAT,40800,37000,65.7,28,0.4,1590,Clay loam,2163.6,0,368.9,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,WHEAT,16600,15400,64.8,24,0.4,1570,Silt loam,2163.6,0,368.9,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,LEE,77,WHEAT,29500,28400,67.7,24,0.4,1560,Silt loam,2037,0,274.9,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,WHEAT,12100,11000,55,22,0.4,1550,Silt loam,2088.2,0,306.6,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,WHEAT,20700,19800,69.4,22,0.4,1540,Silt loam,1746.3,0,286.2,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,WHEAT,36100,33000,74.5,22,0.4,1560,Silt loam,1893,0,255.9,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,WHEAT,6700,6100,59.5,22,0.4,1530,Silt loam,1971.8,0,471.1,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,WHEAT,13600,12200,58,26,0.4,1560,Silt loam,2163.6,0,368.9,5.8908,5.97,7.39,4.74,5.895
2014,03-Oct,02-Jul,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,WHEAT,14600,12700,64,21,0.4,1550,Silt loam,1971.8,0,471.1,5.8908,5.97,7.39,4.74,5.895
