date,value
03/01/00,2.475
04/01/00,2.4725
05/01/00,2.4975
06/01/00,2.485
07/01/00,2.5175
10/01/00,2.535
11/01/00,2.5375
12/01/00,2.5875
13/01/00,2.635
14/01/00,2.65
18/01/00,2.645
19/01/00,2.66
20/01/00,2.65
21/01/00,2.6425
24/01/00,2.66
25/01/00,2.6475
26/01/00,2.6
27/01/00,2.635
28/01/00,2.5975
31/01/00,2.5625
01/02/00,2.58
02/02/00,2.5725
03/02/00,2.5375
04/02/00,2.57
07/02/00,2.5875
08/02/00,2.5925
09/02/00,2.655
10/02/00,2.7175
11/02/00,2.695
14/02/00,2.6875
15/02/00,2.66
16/02/00,2.6525
17/02/00,2.625
18/02/00,2.6475
22/02/00,2.6225
23/02/00,2.5475
24/02/00,2.5725
25/02/00,2.525
28/02/00,2.5185
29/02/00,2.566
01/03/00,2.5975
02/03/00,2.5825
03/03/00,2.5825
06/03/00,2.605
07/03/00,2.5975
08/03/00,2.6175
09/03/00,2.6325
10/03/00,2.6
13/03/00,2.635
14/03/00,2.71
15/03/00,2.6875
16/03/00,2.6625
17/03/00,2.7225
20/03/00,2.6625
21/03/00,2.6025
22/03/00,2.6175
23/03/00,2.5625
24/03/00,2.5275
27/03/00,2.545
28/03/00,2.4975
29/03/00,2.5125
30/03/00,2.555
31/03/00,2.6225
03/04/00,2.5775
04/04/00,2.5575
05/04/00,2.5625
06/04/00,2.5375
07/04/00,2.585
10/04/00,2.5275
11/04/00,2.5275
12/04/00,2.555
13/04/00,2.5775
14/04/00,2.5575
17/04/00,2.5325
18/04/00,2.5225
19/04/00,2.53
20/04/00,2.51
24/04/00,2.5075
25/04/00,2.548
26/04/00,2.535
27/04/00,2.488
28/04/00,2.5225
01/05/00,2.6475
02/05/00,2.6575
03/05/00,2.72
04/05/00,2.765
05/05/00,2.7275
08/05/00,2.6875
09/05/00,2.685
10/05/00,2.75
11/05/00,2.82
12/05/00,2.8425
15/05/00,2.8225
16/05/00,2.8125
17/05/00,2.77
18/05/00,2.72
19/05/00,2.7625
22/05/00,2.8025
23/05/00,2.8125
24/05/00,2.795
25/05/00,2.795
26/05/00,2.8075
30/05/00,2.7425
31/05/00,2.7475
01/06/00,2.705
02/06/00,2.7125
05/06/00,2.66
06/06/00,2.67
07/06/00,2.6425
08/06/00,2.665
09/06/00,2.6975
12/06/00,2.6575
13/06/00,2.6475
14/06/00,2.6125
15/06/00,2.6275
16/06/00,2.63
19/06/00,2.6875
20/06/00,2.7375
21/06/00,2.77
22/06/00,2.775
23/06/00,2.7225
26/06/00,2.74
27/06/00,2.7605
28/06/00,2.766
29/06/00,2.7955
30/06/00,2.689
03/07/00,2.575
05/07/00,2.5875
06/07/00,2.55
07/07/00,2.5475
10/07/00,2.57
11/07/00,2.5625
12/07/00,2.525
13/07/00,2.545
14/07/00,2.4875
17/07/00,2.4425
18/07/00,2.4125
19/07/00,2.445
20/07/00,2.4675
21/07/00,2.4725
24/07/00,2.455
25/07/00,2.455
26/07/00,2.4425
27/07/00,2.4575
28/07/00,2.48
31/07/00,2.4625
01/08/00,2.45
02/08/00,2.4625
03/08/00,2.4225
04/08/00,2.37
07/08/00,2.335
08/08/00,2.365
09/08/00,2.355
10/08/00,2.3575
11/08/00,2.3675
14/08/00,2.385
15/08/00,2.405
16/08/00,2.435
17/08/00,2.395
18/08/00,2.3875
21/08/00,2.3625
22/08/00,2.3475
23/08/00,2.3375
24/08/00,2.4
25/08/00,2.415
28/08/00,2.4625
29/08/00,2.5765
30/08/00,2.5705
31/08/00,2.6475
01/09/00,2.675
05/09/00,2.695
06/09/00,2.64
07/09/00,2.655
08/09/00,2.6625
11/09/00,2.655
12/09/00,2.6075
13/09/00,2.57
14/09/00,2.5425
15/09/00,2.5225
18/09/00,2.5625
19/09/00,2.4925
20/09/00,2.4975
21/09/00,2.475
22/09/00,2.5075
25/09/00,2.535
26/09/00,2.545
27/09/00,2.585
28/09/00,2.5925
29/09/00,2.65
02/10/00,2.67
03/10/00,2.6875
04/10/00,2.6725
05/10/00,2.6725
06/10/00,2.68
09/10/00,2.6725
10/10/00,2.7525
11/10/00,2.7675
12/10/00,2.735
13/10/00,2.6725
16/10/00,2.7075
17/10/00,2.685
18/10/00,2.6375
19/10/00,2.6025
20/10/00,2.6125
23/10/00,2.5675
24/10/00,2.5625
25/10/00,2.555
26/10/00,2.5625
27/10/00,2.59
30/10/00,2.555
31/10/00,2.5475
01/11/00,2.5475
02/11/00,2.5975
03/11/00,2.64
06/11/00,2.6275
07/11/00,2.6225
08/11/00,2.6525
09/11/00,2.5825
10/11/00,2.5675
13/11/00,2.5775
14/11/00,2.5575
15/11/00,2.545
16/11/00,2.545
17/11/00,2.56
20/11/00,2.56
21/11/00,2.5475
22/11/00,2.575
24/11/00,2.605
27/11/00,2.609
28/11/00,2.626
29/11/00,2.6245
30/11/00,2.702
01/12/00,2.7775
04/12/00,2.795
05/12/00,2.7725
06/12/00,2.7675
07/12/00,2.705
08/12/00,2.735
11/12/00,2.7075
12/12/00,2.705
13/12/00,2.7025
14/12/00,2.68
15/12/00,2.6525
18/12/00,2.6875
19/12/00,2.725
20/12/00,2.71
21/12/00,2.7275
22/12/00,2.7575
26/12/00,2.745
27/12/00,2.7275
28/12/00,2.7175
