Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,Aug-20,09-Mar,Sep-17,10-Jan,Oct-15,Oct-29,11-Dec,Nov-26,12-Oct,Dec-24,01-Jul,Jan-21,02-Apr,Feb-18,03-Apr,Mar-18,04-Jan,Apr-15,Apr-29,May-13,May-27,06-Oct,Jun-24,07-Aug,Jul-22,08-May,Aug-19,03-Mar,Mar-17,Mar-31,Apr-14,Apr-28,05-Dec,May-26,06-Sep,Jun-23,07-Jul,Jul-21,08-Apr,Aug-18
2015,WASHINGTON,53,Douglas,"155,000","148,000","7,000",62726.33,59893.528,2832.802,0.04516129,0.166764841,0.150695197,0.139396505,0.20122225,0.175742238,0.06908602,0.3600883,0.218750972,0.159029108,0.081430923,0.02452494,,0.05042008,0.126395761,0.262777518,0.354547347,0.105367281,0.402265596,0.480259324,0.484515031,0.149612442,0.312670281,0.256728071,0.218325689,0.138885313,0.197748031,0.1760912,,,,,,,,,,,,,
2015,WASHINGTON,53,Franklin,"63,000","60,000","3,000",25495.218,24281.16,1214.058,0.047619048,0.246724739,0.196876455,0.192294956,0.164392742,0.179453927,0.069857361,0.05685148,0.032791692,0.058324015,0.163423712,0.096342578,0.08364497,0.038837264,0.07438776,0.201548444,0.311799435,0.203445225,0.47511672,0.488713333,0.460497679,0.371913004,0.267340033,0.265860563,0.18341654,0.193977422,0.206467815,0.132295811,,,,,,,,,,,,,
2015,WASHINGTON,53,Grant,"112,000","108,000","4,000",45324.832,43706.088,1618.744,0.035714286,0.259850293,0.171163389,0.168098921,0.174972742,0.127559553,0.059796928,0.246099542,0.209482735,0.231560804,0.213719206,0.051057894,0.022748504,0.054502511,0.192018272,0.249310023,0.383123632,0.09036033,0.518145104,0.553916925,0.418270777,0.132511359,0.397001711,0.302449146,0.228760371,0.17176991,0.21006315,0.176366491,,,,,,,,,,,,,
2015,WASHINGTON,53,Lincoln,"240,000","230,000","10,000",97124.64,93077.78,4046.86,0.041666667,0.183606219,0.153477313,0.185487192,0.177436107,0.214539704,0.105748174,0.338428339,0.160994275,0.296388938,0.22946621,0.043714939,0.060334567,0.129327315,0.092239399,0.284224299,0.412559727,0.03305081,0.541919099,0.595019413,0.457430563,0.237061483,0.411848654,0.328418711,0.16772944,0.186625716,0.215589966,0.091905396,,,,,,,,,,,,,
2015,WASHINGTON,53,Spokane,"84,500","83,800",700,34195.967,33912.6868,283.2802,0.008284024,0.229632905,0.055424503,0.205834233,0.21245299,0.098644768,0.106127374,0.103544737,0.080828975,0.255941056,0.060462897,0.094534126,0.10376577,,0.088896435,0.285842254,0.359705222,0.030704498,0.44780267,0.534205973,0.644680925,0.199891401,0.592359866,0.405028102,0.283253749,0.219312338,0.245365501,0.089965308,,,,,,,,,,,,,
2015,WASHINGTON,53,Columbia,"72,000","70,500","1,500",29137.392,28530.363,607.029,0.020833333,0.206952644,0.163637669,0.193500579,0.186744433,0.130209025,0.235656658,0.054424883,0.047827341,0.147557111,0.177591648,0.131032432,0.166664133,,0.097106102,0.157901739,0.419078183,0.354947364,0.621464991,0.667544143,0.619697694,0.53837573,0.468770055,0.345678728,0.268718194,0.244596824,0.246814224,0.224880054,,,,,,,,,,,,,
2015,WASHINGTON,53,Walla Walla,"171,000","164,000","7,000",69201.306,66368.504,2832.802,0.040935673,0.215267113,0.183472296,0.188922637,0.182146398,0.1335941,0.204214079,0.044114466,0.036137043,0.072319677,0.176802398,0.126973187,0.137414037,,0.060965356,0.191044107,0.444266714,0.421995922,0.617409266,0.665846816,0.692664789,0.512722473,0.404609262,0.309177306,0.247838417,0.226454183,0.237236145,0.217858022,,,,,,,,,,,,,
2015,WASHINGTON,53,Whitman,"321,000","310,000","11,000",129904.206,125452.66,4451.546,0.034267913,0.202914789,0.124904432,0.185121016,0.190714989,0.114712831,0.134007829,0.119512762,0.095127461,0.163358495,0.170566566,0.053135187,0.119384645,,0.08449089,0.259695361,0.404489188,0.155455376,0.518468031,0.564242511,0.617730832,0.310286615,0.5337305,0.380076811,0.268723831,0.193889982,0.242315105,0.191380551,,,,,,,,,,,,,
2015,WASHINGTON,53,Skagit County,"1,300","1,100",200,526.0918,445.1546,80.9372,0.153846154,0.532846189,0.495137871,,0.135167652,0.04428065,,0.094789291,0.045892542,0.057184266,0.318948773,0.176023643,0.320518932,0.345659164,0.225315024,0.292716835,0.3884917,0.354835191,0.541556008,0.312126434,0.051646677,0.690036617,0.67602144,0.554720883,0.391828373,0.297868402,0.272030088,0.214254988,,,,,,,,,,,,,
2015,WEST VIRGINIA,54,Berkeley County,"1,700","1,150",550,687.9662,465.3889,222.5773,0.323529412,0.565423346,0.446375393,0.340697269,0.28961707,0.283586289,0.342105038,,,0.043237481,0.364434763,,0.052063024,0.315879173,,,,0.340525308,0.51002988,0.6194033,0.558677829,0.081167741,0.372261512,,,0.426280101,0.515610917,0.312925832,,,,,,,,,,,,,
