Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,'08-20','09-03','09-17','10-01','10-15','10-29','11-12','11-26','12-10','12-24','01-07','01-21','02-04','02-18','03-04','03-18','04-01','04-15','04-29','05-13','05-27','06-10','06-24','07-08','07-22','08-05','08-19'
2019,MISSOURI,29,Ralls,"2,000","1,230",770,809.372,497.76378,311.60822,0.385,0.007488837,0.638711442,0.1905746,0.334986917,0.327008861,0.028011145,0.305995844,0.351537738,0.003025991,0.38316555,-0.008124674,0.003606619,0.181025741,0.01674414,0.356520185,0.027555136,0.465414814,0.022767491,0.033859724,0.128467422,0.663181632,0.174259499,0.248543985,0.412529872,0.457843265,0.039641896,0.580942852
2019,MISSOURI,29,Scotland,"1,500",620,880,607.029,250.90532,356.12368,0.586666667,0.129869286,,0.446286733,0.072001448,0.393942148,0.067476034,0.161218653,0.285678894,0.012535404,0.350749308,0.000369868,-0.031221347,0.271869693,0.03871724,0.314706235,0.027654288,0.319777297,0.139134592,0.024221127,0.158615116,0.709461444,0.025124692,0.428591302,0.438353731,0.53401636,0.072514645,0.093939826
2019,MISSOURI,29,Caldwell,"1,900",950,950,768.9034,384.4517,384.4517,0.5,0.595210559,0.49928378,0.543384162,,0.471733802,0.275762876,0.060924324,0.021442101,0.336664958,0.1595215,-0.033095612,-0.016486549,0.00868217,0.124243737,0.014488311,0.024598636,0.432019115,0.55222862,0.015889286,0.750580386,0.042190033,0.024893675,0.399858865,0.271151031,0.018562982,0.183884646,0.238239071
2019,MISSOURI,29,Clay,800,700,100,323.7488,283.2802,40.4686,0.125,0.64239509,0.477371324,0.426799182,,0.328251241,0.258634103,0.112358322,0.022609327,0.190892568,0.274368648,-0.006061094,0.196902509,-0.003139804,0.04082189,0.176681646,0.024272806,0.45337441,0.469661981,0.083597591,0.46359408,0.060028648,0.022118235,0.336293213,0.330871153,0.186444308,0.188134344,0.373052046
2019,MISSOURI,29,Gentry,"1,800","1,600",200,728.4348,647.4976,80.9372,0.111111111,0.611189342,0.497132133,0.417306261,,0.34615348,0.196159309,,0.026788065,0.270355375,0.356142186,-0.02052118,-0.031178218,0.021534974,0.05586288,0.348422361,0.028084347,0.259092473,0.475684803,0.447043809,0.469236165,0.458491398,0.036311157,0.178506045,0.354089445,0.38902847,0.086220687,0.550258934
2019,MISSOURI,29,Ray,"2,100","2,000",100,849.8406,809.372,40.4686,0.047619048,0.657241965,0.590450817,0.51353566,,0.443441275,0.309422147,0.065268566,0.022289835,0.342088818,0.076359925,-0.033074855,0.064896117,0.002708599,0.200713407,0.011173358,0.031513367,0.543946263,0.481118369,0.015803991,0.795970189,0.030382568,0.022409241,0.272358393,0.175290715,0.010172841,0.344555599,0.22633819
2019,MISSOURI,29,Bollinger,"4,600","4,100",500,1861.5556,1659.2126,202.343,0.108695652,0.014003858,,0.481220589,0.137500171,0.424393408,,0.346813338,0.064662151,0.340718424,0.011881962,0.036795371,0.156443332,0.015492611,0.011408083,0.126382765,0.354635907,0.123997216,0.740018197,0.01439077,0.202269682,0.424716248,0.15327295,0.462483207,0.599913919,0.654323684,0.539736596,0.700841882
2019,MISSOURI,29,Dunklin,"14,000","13,200",800,5665.604,5341.8552,323.7488,0.057142857,,,0.430457039,0.29856005,0.318717539,,0.317918429,,0.255622409,0.004960499,-0.002841643,0.184869969,0.023004767,0.006392521,0.052724414,0.659747739,0.185212289,0.796393172,0.011184055,0.08406998,0.27915048,0.263726128,0.060588421,0.392744428,0.286486481,0.434654871,0.430028751
2019,MISSOURI,29,Mississippi,"39,300","36,000","3,300",15904.1598,14568.696,1335.4638,0.083969466,0.553943583,0.272747404,0.345151534,0.189164361,0.24775761,0.278885102,0.335277768,0.065526565,0.1286003,0.020082996,0.011757182,0.161012991,0.020068126,0.017142661,0.039726588,0.66183902,0.059048493,0.840204924,0.024178085,0.103538152,0.276892885,0.174070938,0.128401898,0.170424224,0.296497518,0.472418158,0.413149107
2019,MISSOURI,29,New Madrid,"7,600","6,700",900,3075.6136,2711.3962,364.2174,0.118421053,0.789879079,0.074617358,0.512956553,0.31606865,0.405619686,0.2056938,0.36079644,0.064776299,0.14225786,0.007033871,0.008151002,0.147212707,0.021800506,0.006263082,0.045354927,0.479716743,0.12750054,0.760286676,0.022544116,0.058812373,0.29519344,0.228648959,0.153457881,0.285946236,0.212043743,0.345639357,0.411339277
