Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss,Aug-20,09-Mar,Sep-17,10-Jan,Oct-15,Oct-29,11-Dec,Nov-26,12-Oct,Dec-24,01-Jul,Jan-21,02-Apr,Feb-18,03-Apr,Mar-18,04-Jan,Apr-15,Apr-29,May-13,May-27,06-Oct,Jun-24,07-Aug,Jul-22,08-May,Aug-19
2019,OKLAHOMA,40,Pottawatomie,"6,200","3,000","3,200",2509.0532,1214.058,1294.9952,0.516129032,0.406381157,0.433363735,,0.164004767,0.151850766,0.116456028,0.30224287,0.138381196,0.358256007,0.333743846,0.296731413,0.352860962,0.173885881,0.016937005,0.414704978,0.458471056,0.211875527,0.671066734,0.308688352,0.288914473,0.020029518,0.36379814,0.359527353,0.434452056,0.010505862,0.102039759,0.469467771
2019,OKLAHOMA,40,Muskogee,"7,200","1,400","5,800",2913.7392,566.5604,2347.1788,0.805555556,0.540154185,0.299585333,,,0.092893001,0.413128197,0.309475129,0.351118721,0.332804576,0.092497168,-0.006656813,0.013556879,0.020849823,0.22089115,0.07355474,0.12644226,0.574340286,0.631898136,0.379380969,0.286826384,0.179931003,0.421752209,0.223896264,0.477156572,0.425261778,0.501618875,0.033205769
2019,OKLAHOMA,40,Okmulgee,"4,000","1,900","2,100",1618.744,768.9034,849.8406,0.525,0.46204935,0.430237167,,,0.047981385,0.209118255,0.425085789,0.367931083,0.622538752,0.607804811,-0.00820552,0.010406349,0.01603478,0.011598999,0.241757858,0.091485681,0.660418182,0.691638778,0.534020471,0.322167304,0.058917515,0.463969067,0.234684755,0.472393209,0.015802303,0.443252748,0.024756983
2019,OKLAHOMA,40,Alfalfa,"231,000","211,000","20,000",93482.466,85388.746,8093.72,0.086580087,0.346882539,0.238868524,0.284829173,0.020715587,0.318656352,0.04452814,0.451304892,0.278686873,0.480149177,0.524174687,0.004900788,0.393620128,0.141652706,0.214851537,0.47887929,0.002329278,0.047600335,0.650571985,0.272591447,0.048759824,0.310024787,0.069315848,0.279305174,0.252852351,0.01693768,0.251772785,-0.002524924
2019,OKLAHOMA,40,Garfield,"275,000","235,000","40,000",111288.65,95101.21,16187.44,0.145454545,0.160111562,0.037972803,,0.055676515,0.24043659,,0.426824093,,0.465193598,0.453793311,0.215387864,0.342858245,0.059449519,0.027073704,0.466203994,0.365453758,0.142074308,0.722407043,0.246940364,0.197399118,0.196864415,0.075254532,0.227299781,0.297437102,-0.008562621,0.172415641,0.230023404
2019,OKLAHOMA,40,Grant,"260,000","202,000","58,000",105218.36,81746.572,23471.788,0.223076923,0.093790489,0.092821477,0.161201102,0.035855223,0.323940861,0.043030226,0.355217462,0.1959846,0.363431625,0.426686938,0.175166462,0.272683113,0.058522866,0.145621699,0.400618422,0.265380024,0.099415928,0.689504627,0.429188099,-0.004330696,0.280063539,0.0447379,0.187759795,0.311258018,0.007486141,0.244815547,0.183102661
2019,OKLAHOMA,40,Kay,"133,000","111,000","22,000",53823.238,44920.146,8903.092,0.165413534,0.182631865,0.112752674,,0.046656266,0.314785678,0.126843015,0.321904837,,0.28692098,0.399906129,0.337149398,0.372920944,0.058562203,0.013477773,0.378580024,0.443251494,0.173437357,0.688527395,0.313710737,-0.00640384,0.257544233,0.061325655,0.146372174,0.369221908,0.184995565,0.21390344,0.448236786
2019,OKLAHOMA,40,Major,"120,000","85,000","35,000",48562.32,34398.31,14164.01,0.291666667,0.344175542,0.244601726,0.321144674,0.023658117,0.219697641,0.050486933,0.396942017,0.282044042,0.403046437,0.394409319,0.030160179,0.110630833,0.185484791,0.016025148,0.378852478,0.005242949,0.028917641,0.592588032,0.188355028,0.099361925,0.343372404,0.226383656,0.29395534,0.328760124,0.030949603,0.308792963,0.007473851
2019,OKLAHOMA,40,Noble,"100,000","81,000","19,000",40468.6,32779.566,7689.034,0.19,0.160519559,0.306102102,,0.09115502,0.355765548,0.168179472,0.396393314,,0.388505172,0.451834514,0.331928605,0.425839888,0.076832955,-0.00043145,0.353031528,0.497522232,0.263704125,0.696904207,0.20676516,0.259982367,0.263958265,0.075733889,0.346502187,0.369022306,0.060193172,0.083913094,0.4383936
2019,OKLAHOMA,40,Woods,"147,000","117,000","30,000",59488.842,47348.262,12140.58,0.204081633,0.350216539,0.215831679,0.263914211,0.019847806,0.285565703,0.044553474,0.394412401,0.205884182,0.42893012,0.238891086,0.045192448,0.41283405,0.292619915,0.051929623,0.180022975,-0.000767121,0.041434136,0.510498874,0.160924406,0.022307176,0.281661716,0.073206708,0.290152755,0.272847142,0.076570241,0.211101782,0.014673826
