Year,State,State ANSI,County,ACRES PLANTED,ACRES HARVESTED,Loss,% of Loss
2008,ALABAMA,1,Baldwin,"15,300","12,200","3,100",0.202614379
2008,ALABAMA,1,Limestone,"36,700","33,800","2,900",0.079019074
2008,ALABAMA,1,Madison,"22,100","21,500",600,0.027149321
2008,ARKANSAS,5,Conway,"8,000","7,000","1,000",0.125
2008,ARKANSAS,5,Faulkner,"3,800","2,600","1,200",0.315789474
2008,ARKANSAS,5,Pulaski,"7,600","5,300","2,300",0.302631579
2008,ARKANSAS,5,Arkansas,"95,000","94,500",500,0.005263158
2008,ARKANSAS,5,Crittenden,"71,000","70,000","1,000",0.014084507
2008,ARKANSAS,5,Cross,"50,000","45,500","4,500",0.09
2008,ARKANSAS,5,Lee,"50,000","48,000","2,000",0.04
2008,ARKANSAS,5,Lonoke,"44,000","43,500",500,0.011363636
2008,ARKANSAS,5,Monroe,"46,000","44,500","1,500",0.032608696
2008,ARKANSAS,5,Phillips,"49,000","46,500","2,500",0.051020408
2008,ARKANSAS,5,Prairie,"26,000","25,000","1,000",0.038461538
2008,ARKANSAS,5,Saint Francis,"47,000","46,500",500,0.010638298
2008,ARKANSAS,5,Woodruff,"37,000","36,000","1,000",0.027027027
2008,ARKANSAS,5,Clay,"20,000","18,000","2,000",0.1
2008,ARKANSAS,5,Craighead,"25,000","23,000","2,000",0.08
2008,ARKANSAS,5,Greene,"19,000","18,000","1,000",0.052631579
2008,ARKANSAS,5,Independence,"11,500","8,000","3,500",0.304347826
2008,ARKANSAS,5,Jackson,"57,000","53,000","4,000",0.070175439
2008,ARKANSAS,5,Mississippi,"44,000","38,000","6,000",0.136363636
2008,ARKANSAS,5,Poinsett,"38,000","35,000","3,000",0.078947368
2008,ARKANSAS,5,Chicot,"28,000","27,500",500,0.017857143
2008,ARKANSAS,5,Desha,"53,000","51,500","1,500",0.028301887
2008,ARKANSAS,5,Drew,"12,000","11,500",500,0.041666667
2008,ARKANSAS,5,Jefferson,"66,000","65,000","1,000",0.015151515
2008,ARKANSAS,5,Lafayette,"17,500","9,000","8,500",0.485714286
2008,ARKANSAS,5,Little River,"8,000","7,000","1,000",0.125
2008,ARKANSAS,5,Pope,"3,600","3,200",400,0.111111111
2008,CALIFORNIA,6,Alameda,"1,200",300,900,0.75
2008,CALIFORNIA,6,Contra Costa,"1,600","1,000",600,0.375
2008,CALIFORNIA,6,Monterey,500,200,300,0.6
2008,CALIFORNIA,6,San Benito,"2,100",900,"1,200",0.571428571
2008,CALIFORNIA,6,Lassen,"5,500","3,400","2,100",0.381818182
2008,CALIFORNIA,6,Modoc,"6,900","5,700","1,200",0.173913043
2008,CALIFORNIA,6,Butte,"3,700","2,600","1,100",0.297297297
2008,CALIFORNIA,6,Colusa,"32,400","25,700","6,700",0.206790123
2008,CALIFORNIA,6,Glenn,"10,600","8,000","2,600",0.245283019
2008,CALIFORNIA,6,Sacramento,"11,900","10,000","1,900",0.159663866
2008,CALIFORNIA,6,Solano,"29,600","24,600","5,000",0.168918919
2008,CALIFORNIA,6,Sutter,"21,700","17,500","4,200",0.193548387
2008,CALIFORNIA,6,Yolo,"49,400","47,300","2,100",0.042510121
2008,CALIFORNIA,6,Kern,"77,000","46,300","30,700",0.398701299
2008,CALIFORNIA,6,Kings,"108,800","61,900","46,900",0.431066176
2008,CALIFORNIA,6,Stanislaus,"9,600","3,200","6,400",0.666666667
2008,CALIFORNIA,6,Siskiyou,"13,300","11,000","2,300",0.172932331
