Year,State,State ANSI,County,ACRES Planted,ACRES Harvested,Acres Loss,Hectare Planted,Hectare Harvested,Hectare Loss,% of Loss
2015,ARKANSAS,5,Conway,"6,300","2,500","3,800",2549.5218,1011.715,1537.8068,0.603174603
2015,ARKANSAS,5,Pulaski,"2,900","1,300","1,600",1173.5894,526.0918,647.4976,0.551724138
2015,ARKANSAS,5,Arkansas,"11,600","10,000","1,600",4694.3576,4046.86,647.4976,0.137931034
2015,ARKANSAS,5,Crittenden,"28,400","24,000","4,400",11493.0824,9712.464,1780.6184,0.154929577
2015,ARKANSAS,5,Cross,"11,900","9,900","2,000",4815.7634,4006.3914,809.372,0.168067227
2015,ARKANSAS,5,Lee,"16,400","13,200","3,200",6636.8504,5341.8552,1294.9952,0.195121951
2015,ARKANSAS,5,Lonoke,"6,800","5,200","1,600",2751.8648,2104.3672,647.4976,0.235294118
2015,ARKANSAS,5,Monroe,"16,000","13,600","2,400",6474.976,5503.7296,971.2464,0.15
2015,ARKANSAS,5,Phillips,"26,800","20,000","6,800",10845.5848,8093.72,2751.8648,0.253731343
2015,ARKANSAS,5,Prairie,"3,300","2,600",700,1335.4638,1052.1836,283.2802,0.212121212
2015,ARKANSAS,5,St. Francis,"10,500","8,400","2,100",4249.203,3399.3624,849.8406,0.2
2015,ARKANSAS,5,Woodruff,"8,800","7,600","1,200",3561.2368,3075.6136,485.6232,0.136363636
2015,ARKANSAS,5,Clay,"5,200","4,500",700,2104.3672,1821.087,283.2802,0.134615385
2015,ARKANSAS,5,Craighead,"5,700","2,600","3,100",2306.7102,1052.1836,1254.5266,0.543859649
2015,ARKANSAS,5,Greene,"4,600","3,700",900,1861.5556,1497.3382,364.2174,0.195652174
2015,ARKANSAS,5,Jackson,"11,000","9,400","1,600",4451.546,3804.0484,647.4976,0.145454545
2015,ARKANSAS,5,Poinsett,"14,800","12,500","2,300",5989.3528,5058.575,930.7778,0.155405405
2015,ARKANSAS,5,Ashley,"4,000","3,400",600,1618.744,1375.9324,242.8116,0.15
2015,ARKANSAS,5,Desha,"3,800","3,200",600,1537.8068,1294.9952,242.8116,0.157894737
2015,ARKANSAS,5,Lincoln,"5,500","4,200","1,300",2225.773,1699.6812,526.0918,0.236363636
2015,CALIFORNIA,6,Colusa,"10,000","8,000","2,000",4046.86,3237.488,809.372,0.2
2015,CALIFORNIA,6,Glenn,"9,000","5,000","4,000",3642.174,2023.43,1618.744,0.444444444
2015,CALIFORNIA,6,Solano,"12,500","9,500","3,000",5058.575,3844.517,1214.058,0.24
2015,CALIFORNIA,6,Sutter,"6,900","6,000",900,2792.3334,2428.116,364.2174,0.130434783
2015,CALIFORNIA,6,Yolo,"21,500","19,000","2,500",8700.749,7689.034,1011.715,0.11627907
2015,CALIFORNIA,6,Madera,"20,000","3,000","17,000",8093.72,1214.058,6879.662,0.85
2015,CALIFORNIA,6,Merced,"46,000","8,000","38,000",18615.556,3237.488,15378.068,0.826086957
2015,CALIFORNIA,6,San Joaquin,"22,000","8,500","13,500",8903.092,3439.831,5463.261,0.613636364
2015,CALIFORNIA,6,Tulare,"108,000","30,500","77,500",43706.088,12342.923,31363.165,0.717592593
2015,COLORADO,8,Adams,"167,000","162,000","5,000",67582.562,65559.132,2023.43,0.02994012
2015,COLORADO,8,Arapahoe,"62,300","55,000","7,300",25211.9378,22257.73,2954.2078,0.11717496
2015,COLORADO,8,Cheyenne,"178,000","157,500","20,500",72034.108,63738.045,8296.063,0.115168539
2015,COLORADO,8,Elbert,"41,000","39,400","1,600",16592.126,15944.6284,647.4976,0.03902439
2015,COLORADO,8,Kiowa,"205,000","171,000","34,000",82960.63,69201.306,13759.324,0.165853659
2015,COLORADO,8,Kit Carson,"298,000","288,000","10,000",120596.428,116549.568,4046.86,0.033557047
2015,COLORADO,8,Lincoln,"137,000","121,500","15,500",55441.982,49169.349,6272.633,0.113138686
2015,COLORADO,8,Washington,"308,000","294,500","13,500",124643.288,119180.027,5463.261,0.043831169
2015,COLORADO,8,Yuma,"139,000","135,000","4,000",56251.354,54632.61,1618.744,0.028776978
2015,COLORADO,8,Larimer,"9,000","8,500",500,3642.174,3439.831,202.343,0.055555556
2015,COLORADO,8,Logan,"125,000","116,900","8,100",50585.75,47307.7934,3277.9566,0.0648
2015,COLORADO,8,Morgan,"61,000","60,400",600,24685.846,24443.0344,242.8116,0.009836066
2015,COLORADO,8,Sedgwick,"73,900","68,900","5,000",29906.2954,27882.8654,2023.43,0.067658999
